Work Item ID,Work Type,Parent ID,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Labels,Components,Sprint,Story Points,Created,Comment
SP-73,Story,SP-7,Technical design and test case documents built from source,"Generated rather than written, so the documents cannot drift from the spec they describe.",Geetha Nallamada,Geetha Nallamada,Medium,Done,Done,docs,tools,Sprint 7,5,31/Aug/26 10:00 AM,"03/Sept/26 05:00 PM;Geetha Nallamada;Generated rather than written, so the documents cannot drift from the spec they describe. Closed 03 Sep. Both documents now build from source and the generated PDFs are in the repository root. Verified by regenerating from a clean checkout and diffing against the committed output: identical, so the build is reproducible rather than a one-off."
SP-74,Subtask,SP-73,BRD PDF builder,Renders the markdown business requirements document to the branded PDF.,Shashank Shukla,Geetha Nallamada,Low,Done,Done,docs,tools,,,31/Aug/26 10:00 AM,03/Sept/26 05:00 PM;Shashank Shukla;Renders the markdown business requirements document to the branded PDF.
SP-75,Subtask,SP-73,Technical document PDF builder,Second builder sharing the layout helpers with the BRD builder.,Shashank Shukla,Geetha Nallamada,Low,Done,Done,docs,tools,,,01/Sept/26 10:00 AM,"03/Sept/26 05:00 PM;Shashank Shukla;Shares its layout helpers with the BRD builder so the two documents stay visually consistent. Closed 03 Sep. Builder is working and shares its layout helpers with the BRD builder, so a change to page furniture lands in both documents at once. Output checked page by page against the markdown source. No section dropped and no heading level lost."
SP-76,Story,SP-7,Handover walkthrough for the support team,"One session covering the widget contract, the three Script Includes, the deployment traps and the test pack, with the deck kept in the repository.",Geetha Nallamada,Geetha Nallamada,Medium,To Do,,docs,docs,Sprint 7,3,01/Sept/26 10:00 AM,"01/Sept/26 10:00 AM;Geetha Nallamada;One session covering the widget contract, the three Script Includes, the deployment traps and the test pack. Targeting 11 Sep."
SP-80,Story,SP-3,Re-aggregate a deactivated shift type at its snapshot rate,"The aggregator rate map reads active catalogue rows only, so a shift type deactivated after being logged re-aggregates at zero.",Divya Maram,Shashank Shukla,Medium,To Do,,backlog,Script Includes,,5,15/Jul/26 10:00 AM,"15/Jul/26 10:00 AM;Divya Maram;Logged separately from SP-33 on Geetha's instruction so the extraction stayed behaviour-neutral and therefore reviewable. It is a known wart, preserved deliberately, not an accident. Fixing it means reading the rate from the summary snapshot rather than the live catalogue."
SP-81,Story,SP-2,Separate approval audit table so a resubmission does not erase a past rejection,"Resubmission clears the approver fields, so a rejection the employee has since fixed disappears from the History tab.",Rucha Joshi,Geetha Nallamada,Medium,To Do,,backlog,Manager Approval UI Widget,,8,21/Aug/26 10:00 AM,"21/Aug/26 10:00 AM;Rucha Joshi;Accepted cost of keeping approval state on the timesheet row, agreed with Geetha on 21 Aug and documented as a known limitation rather than a defect. If the client wants a full approval trail this becomes a separate table and the History tab reads from it instead."
SP-82,Story,SP-6,Write table ACLs for a production deployment,The five application tables have no ACLs. The application runs as an account that bypasses them.,Shashank Shukla,Geetha Nallamada,High,To Do,,backlog,Script Includes,,13,05/Jun/26 10:00 AM,"05/Jun/26 10:00 AM;Shashank Shukla;Out of scope for the proof of concept by explicit decision on SP-71, and parked here so the decision is visible rather than forgotten. Note this does not weaken the widget-level guards, which are the real access control today and must stay rigorous either way."
SP-83,Story,SP-5,Assert the two configuration findings as a pre-flight check,"TC-SP-030 and TC-SP-031 are real findings that produce no screenshot, so neither is automated today.",Neha Chauhan,Neha Chauhan,Medium,To Do,,backlog,testing,,5,13/Aug/26 10:00 AM,13/Aug/26 10:00 AM;Neha Chauhan;A pre-flight step that asserts the holiday property exists and that each of the five configured table names resolves to a real table would catch both without needing a screenshot. Would also catch the same class of misconfiguration on any future instance move.
SP-84,Story,SP-1,Show the remaining CO balance on the landing page,An employee currently has to open the calendar and read the legend to know whether they hold an unconsumed entitlement.,Rucha Joshi,Geetha Nallamada,Medium,Done,Done,backlog,Landing Page UI Widget,Sprint 7,5,24/Aug/26 10:00 AM,"03/Sept/26 05:00 PM;Rucha Joshi;Requested informally during the sprint 6 demo. The number already exists in the entitlements Script Include, so this is a display change and needs no new rule logic. Read it through rules.entitlements rather than querying the table directly. Pulled into sprint 7 on 01 Sep and closed 03 Sep. Reads the balance through rules.entitlements rather than querying the entitlement table directly, so it cannot disagree with what the calendar allows. Display only, no new rule logic, and the landing page still renders for a user who holds no entitlement."
SP-85,Story,SP-4,Scheduled dataset refresh instead of a cached file,"The report file ships with cached data, which is right for a demo but means the numbers are frozen at build time.",Divya Maram,Geetha Nallamada,Low,To Do,,backlog,Power BI,,8,26/Aug/26 10:00 AM,"26/Aug/26 10:00 AM;Divya Maram;Deliberately deferred. A scheduled refresh needs a gateway and a service account, which the proof of concept was scoped to avoid. Both money rules on SP-45 and SP-46 must survive the move unchanged."
SP-86,Story,SP-2,Export an approved month to a payroll handoff file,Approved months currently stop at the timesheet row. Payroll has no file to consume.,Divya Maram,Geetha Nallamada,High,To Do,,backlog,Manager Approval UI Widget,,8,28/Aug/26 10:00 AM,"28/Aug/26 10:00 AM;Divya Maram;Must read amounts from the summary snapshot, exactly as the reporting layer does, so the export and the report can never disagree. Should refuse to export a month that is not in approved status rather than exporting a provisional figure."
SP-87,Story,SP-1,Half-day and partial shift support,One shift per day per user is currently a hard assumption in the submission table and the aggregator.,Rucha Joshi,Geetha Nallamada,Low,To Do,,backlog,Employee Calendar UI Widget,,13,29/Aug/26 10:00 AM,"29/Aug/26 10:00 AM;Rucha Joshi;Flagged as a likely phase two ask, not a committed requirement. It touches the one-row-per-day assumption in the submission table, the aggregator and the entitlement window, so it is a genuine redesign rather than a widget change. Do not start it without a BRD amendment."
SP-88,Story,SP-1,Responsive layout for the calendar on small screens,The month grid assumes a desktop viewport; on a phone the day cells collapse.,Rucha Joshi,Rucha Joshi,Low,To Do,,backlog,Employee Calendar UI Widget,,5,29/Aug/26 10:00 AM,"29/Aug/26 10:00 AM;Rucha Joshi;Not raised by the client, logged by me after testing on a phone during the sprint 6 demo. Field staff are the people most likely to log a shift away from a desk, so this is worth surfacing even though nobody has asked for it."
SP-89,Story,SP-2,Bulk day correction across a date range for a manager,"Day correction is one day at a time, which is slow when an employee has logged a whole week wrongly.",Shashank Shukla,Geetha Nallamada,Low,To Do,,backlog,Manager Approval UI Widget,,8,01/Sept/26 10:00 AM,"01/Sept/26 10:00 AM;Shashank Shukla;Deliberately not built in sprint 5. Bulk correction would have to loop the single-day action to keep the reportee assertion, the allowed-shift check and the three-phase entitlement transaction per day, the same reasoning as SP-24. Cheap to add on that basis, and wrong to add any other way."
SP-90,Subtask,SP-56,Regression pass over the six passing cases after the retarget,"Re-run the six cases that pass, on dev227442, and confirm each fails for no new reason.",Neha Chauhan,Neha Chauhan,Medium,Done,Done,qa,testing,Sprint 7,,02/Sept/26 10:00 AM,"03/Sept/26 05:00 PM;Neha Chauhan;Closed 03 Sep. Six passing cases re-run twice against dev227442 with fresh evidence records generated both times, and the three expected failures reproduced identically on each run. Confirms the retarget moved the pack cleanly and did not quietly change what is being asserted."
SP-91,Story,SP-4,Reconcile report totals against the widget for August,Tie the monthly cost figures in the report back to what the Manager Approval widget shows for the same month.,Divya Maram,Geetha Nallamada,High,Done,Done,reporting,Power BI,Sprint 7,3,01/Sept/26 10:00 AM,"03/Sept/26 05:00 PM;Divya Maram;Closed 03 Sep. Reconciled August across four reportees. Report and widget agree to the rupee. Worth recording why: both read the summary snapshot rather than live catalogue rates, so they cannot drift. The first reconciliation attempt was out by roughly double until the period type filter was applied, which is exactly the failure SP-46 exists to prevent."
SP-8,Epic,,Test engineering and CI foundations,"Automation harness, nightly pipeline and API-level contract tests, stood up ahead of feature work so the first widget had something to be tested by.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 0,,01/May/26 10:00 AM,"25/Aug/26 05:00 PM;Swopneel;Built in May, a month before the build team ramped. The point was to have the pipeline exist before the pressure did. Closed on rolling off. The harness is in the repo and runs without me."
SP-92,Story,SP-8,Test strategy and coverage model for the proof of concept,"Agree what is tested at which layer, and just as importantly what is deliberately not tested, before any code exists.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 0,5,01/May/26 10:00 AM,"29/May/26 05:00 PM;Swopneel;Three layers agreed with Geetha: API contract tests on the five tables, widget-driven journeys kept deliberately thin, and a nightly regression run. Most of what can go wrong in this application is data and rules, not clicks, so the thickest layer is the lowest one."
SP-93,Story,SP-8,Playwright and TypeScript harness skeleton,"One command runs a case end to end, the same code path in CI and on a developer machine.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 0,8,04/May/26 10:00 AM,"29/May/26 05:00 PM;Swopneel;Same code path headless and headed, so a failure a developer cannot reproduce locally is a real difference rather than a harness artefact."
SP-94,Subtask,SP-93,Deterministic data seeding through the Table API,Fixtures are created and torn down over the API rather than by driving the widget.,Swopneel,Swopneel,High,Done,Done,qa,testing,,,06/May/26 10:00 AM,29/May/26 05:00 PM;Swopneel;A test that has to click its own fixtures into place fails for the wrong reason and then gets ignored. Seeding goes through the Table API and every writing case reverses itself.
SP-95,Subtask,SP-93,Headless and headed run modes with artefact capture,"Screenshots, traces and console output captured on every run, not only on failure.",Swopneel,Swopneel,Medium,Done,Done,qa,testing,,,08/May/26 10:00 AM,29/May/26 05:00 PM;Swopneel;Capturing on success too costs almost nothing and means a regression can be compared against the last good run rather than guessed at.
SP-96,Subtask,SP-93,Nightly pipeline run against the development instance,"Scheduled run with results published, wired before there was anything to test.",Swopneel,Swopneel,Medium,Done,Done,qa,testing,,,12/May/26 10:00 AM,29/May/26 05:00 PM;Swopneel;Green on the first night because it tested nothing. Standing the pipeline up while the stakes were zero meant nobody had to debug CI during a release week.
SP-97,Story,SP-8,API-level contract tests for the five tables,"Assert the columns and types the application depends on, independently of any widget.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 0,8,11/May/26 10:00 AM,29/May/26 05:00 PM;Swopneel;If a column is renamed the suite names the column. Without this layer the first symptom is a widget rendering blank and somebody bisecting the template.
SP-98,Story,SP-8,Test credentials and environment handling,Harness reads the instance and login from a gitignored file; CI reads them from runner secrets.,Swopneel,Geetha Nallamada,Medium,Done,Done,qa,testing,Sprint 0,3,18/May/26 10:00 AM,29/May/26 05:00 PM;Swopneel;No credential has ever been in the repository and the harness fails with a clear message rather than a stack trace when the file is missing.
SP-100,Story,SP-5,Negative tests for every server-side refusal path,Drive each of the six paths where the server refuses a write and assert what the user is actually shown.,Swopneel,Geetha Nallamada,Highest,Done,Done,qa,testing,Sprint 2,5,26/Jun/26 10:00 AM,"03/Jul/26 05:00 PM;Swopneel;This suite is what surfaced SP-57. The refusal tests did not fail, which was the finding: the server refuses and the calendar repaints as though the write succeeded. Handed to Neha to raise, since a defect belongs to whoever can describe the user impact."
SP-99,Story,SP-5,Regression suite for the compensatory-off window,"Generated cases across the seven-weekday entitlement window, weighted to the awkward dates.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 3,8,08/Jul/26 10:00 AM,"17/Jul/26 05:00 PM;Swopneel;Seven weekdays means the interesting cases are the ones straddling a weekend or a holiday, so those are the ones generated rather than a uniform spread. Caught an off-by-one in the weekday count before it left Shashank branch."
SP-101,Story,SP-5,Selector resilience and a bounded retry policy,Pin the widget-driven cases to stable hooks and retry only on genuinely asynchronous waits.,Swopneel,Neha Chauhan,Medium,Done,Done,qa,testing,Sprint 4,5,22/Jul/26 10:00 AM,"31/Jul/26 05:00 PM;Swopneel;A flaky suite gets ignored and an ignored suite is worse than no suite. Retries are bounded and never mask an assertion failure, only a wait."
SP-102,Story,SP-5,Cross-browser run matrix,Run the widget-driven cases on more than one engine so a rendering assumption shows up early.,Swopneel,Neha Chauhan,Low,Done,Done,qa,testing,Sprint 5,5,05/Aug/26 10:00 AM,"14/Aug/26 05:00 PM;Swopneel;Chromium and WebKit. Firefox deliberately left out: the portal is not supported there, so a failure would be noise rather than a finding."
SP-103,Story,SP-5,Performance smoke on a month with a year of history behind it,Confirm month load does not degrade as submissions accumulate.,Swopneel,Geetha Nallamada,Medium,Done,Done,qa,testing,Sprint 6,5,18/Aug/26 10:00 AM,"25/Aug/26 05:00 PM;Swopneel;Month load stays under two seconds with a full year of data seeded behind it. No query in the calendar scales with history, which is worth knowing before a second year exists."
SP-104,Story,SP-5,Hand the automation harness over before rolling off,"Transfer the harness, the seeding path and the CI wiring to QA with a verified run from a clean checkout.",Swopneel,Geetha Nallamada,High,Done,Done,qa,testing,Sprint 6,3,19/Aug/26 10:00 AM,25/Aug/26 05:00 PM;Swopneel;Neha ran the whole pack from a clean checkout with me watching rather than me demonstrating it. Six passed and three failed as expected. Nothing the pack needs lives on my machine.
